primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,class_name,inat_taxon_id,author,license,rating,url,filename,collection
1161364,[],[],-22.7562,-46.8666,Guyalna cuta,Guyalna cuta,Insecta,1161364,Lucas Barbosa,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1216197.mp3?1727581626,1161364/iNat1216197.ogg,iNat
1161364,[],[],-22.7558,-46.87,Guyalna cuta,Guyalna cuta,Insecta,1161364,Lucas Barbosa,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1114648.mp3?1719714347,1161364/iNat1114648.ogg,iNat
1161364,[],[],-22.7547,-46.8728,Guyalna cuta,Guyalna cuta,Insecta,1161364,Lucas Barbosa,cc-by-nc,0.0,https://static.inaturalist.org/sounds/810195.mp3?1694395513,1161364/iNat810195.ogg,iNat
1161364,[],[],-22.7547,-46.8728,Guyalna cuta,Guyalna cuta,Insecta,1161364,Lucas Barbosa,cc-by-nc,0.0,https://static.inaturalist.org/sounds/818781.mp3?1695610958,1161364/iNat818781.ogg,iNat
1161364,[],[],-22.7426,-46.8985,Guyalna cuta,Guyalna cuta,Insecta,1161364,Lucas Barbosa,cc-by-nc,0.0,https://static.inaturalist.org/sounds/556514.mp3?1667105088,1161364/iNat556514.ogg,iNat
1161364,[],[],-22.0843,-47.7327,Guyalna cuta,Guyalna cuta,Insecta,1161364,Carlos Otávio Gussoni,cc-by-nc,0.0,https://static.inaturalist.org/sounds/868369.wav?1704032684,1161364/iNat868369.ogg,iNat
1161364,[],[],-20.9848,-43.7609,Guyalna cuta,Guyalna cuta,Insecta,1161364,Pedro Cavalcante,cc-by-nc,0.0,https://static.inaturalist.org/sounds/842139.wav?1699232232,1161364/iNat842139.ogg,iNat
1161364,[],[],-19.9674,-43.9895,Guyalna cuta,Guyalna cuta,Insecta,1161364,Pedro Cavalcante,cc-by-nc,0.0,https://static.inaturalist.org/sounds/840159.m4a?1698886103,1161364/iNat840159.ogg,iNat
1161364,[],[],-19.8713,-43.9607,Guyalna cuta,Guyalna cuta,Insecta,1161364,Alexandre S. Michelotto,cc0,0.0,https://static.inaturalist.org/sounds/1264238.mp3?1733668490,1161364/iNat1264238.ogg,iNat
1161364,[],[],-18.8358,-40.7354,Guyalna cuta,Guyalna cuta,Insecta,1161364,Vitor C. Dias Gonçalves,cc-by-nc,0.0,https://static.inaturalist.org/sounds/869958.m4a?1704245702,1161364/iNat869958.ogg,iNat
1161364,[],[],-16.4252,-50.9745,Guyalna cuta,Guyalna cuta,Insecta,1161364,Douglas Henrique Bottura Maccagnan,cc-by-nc,0.0,https://static.inaturalist.org/sounds/547199.wav?1665327638,1161364/iNat547199.ogg,iNat
116570,[],[],-27.7287,-56.8599,Caiman yacare,Southern Spectacled Caiman,Reptilia,116570,Unknown,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1460166.mp3?1747165959,116570/iNat1460166.ogg,iNat
1176823,[],[],-36.613,-64.3261,Leptodactylus luctator,Wrestler Frog,Amphibia,1176823,Nadia Naab,cc-by-nc,0.0,https://static.inaturalist.org/sounds/936019.m4a?1711000641,1176823/iNat936019.ogg,iNat
1176823,[],[],-35.6807,-63.7008,Leptodactylus luctator,Wrestler Frog,Amphibia,1176823,Hugo,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1708543.mp3?1764792650,1176823/iNat1708543.ogg,iNat
1176823,[],[],-35.6267,-59.6282,Leptodactylus luctator,Wrestler Frog,Amphibia,1176823,Geografiaargentina,cc-by-nc,0.0,https://static.inaturalist.org/sounds/389418.mp3?1649602702,1176823/iNat389418.ogg,iNat
1176823,[],[],-35.0179,-57.8639,Leptodactylus luctator,Wrestler Frog,Amphibia,1176823,Nadia Bach,cc-by-nc,0.0,https://static.inaturalist.org/sounds/188986.mp3?1618615563,1176823/iNat188986.ogg,iNat
1176823,[],[],-34.3403,-58.7849,Leptodactylus luctator,Wrestler Frog,Amphibia,1176823,lorenzohughes,cc-by-nc,0.0,https://static.inaturalist.org/sounds/145706.mp3?1603980100,1176823/iNat145706.ogg,iNat
1176823,[],[],-34.1666,-54.9266,Leptodactylus luctator,Wrestler Frog,Amphibia,1176823,Iker Aparicio,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1641731.m4a?1758303725,1176823/iNat1641731.ogg,iNat
1176823,[],[],-32.8049,-56.5234,Leptodactylus luctator,Wrestler Frog,Amphibia,1176823,Javier Piquillén,cc-by-nc,0.0,https://static.inaturalist.org/sounds/845830.mp3?1700008212,1176823/iNat845830.ogg,iNat
1176823,[],[],-32.0384,-52.2506,Leptodactylus luctator,Wrestler Frog,Amphibia,1176823,vinicius_s_domingues,cc-by-nc,0.0,https://static.inaturalist.org/sounds/730318.mp3?1686232755,1176823/iNat730318.ogg,iNat
1176823,[],[],-31.9956,-52.1594,Leptodactylus luctator,Wrestler Frog,Amphibia,1176823,vinicius_s_domingues,cc-by-nc,0.0,https://static.inaturalist.org/sounds/730319.mp3?1686232756,1176823/iNat730319.ogg,iNat
1176823,[],[],-31.889,-54.1529,Leptodactylus luctator,Wrestler Frog,Amphibia,1176823,Gabriel Laufer,cc0,0.0,https://static.inaturalist.org/sounds/1269019.m4a?1734451623,1176823/iNat1269019.ogg,iNat
1176823,[],[],-31.2886,-61.1019,Leptodactylus luctator,Wrestler Frog,Amphibia,1176823,Pablo H Capovilla,cc-by,0.0,https://static.inaturalist.org/sounds/819936.wav?1695779962,1176823/iNat819936.ogg,iNat
1176823,[],[],-26.4757,-52.5246,Leptodactylus luctator,Wrestler Frog,Amphibia,1176823,Alan Hentz,cc-by-nc,0.0,https://static.inaturalist.org/sounds/829107.mp3?1697065701,1176823/iNat829107.ogg,iNat
1595929,[],[],-30.2179,-57.6199,Lysapsus limellum,Uruguay Harlequin Frog,Amphibia,1595929,Sebastián Gómez Barboza Silveira,cc0,0.0,https://static.inaturalist.org/sounds/1308166.wav?1739725369,1595929/iNat1308166.ogg,iNat
1595929,[],[],-30.2146,-57.6217,Lysapsus limellum,Uruguay Harlequin Frog,Amphibia,1595929,Sebastián Gómez Barboza Silveira,cc0,0.0,https://static.inaturalist.org/sounds/1679888.m4a?1761595845,1595929/iNat1679888.ogg,iNat
1595929,[],[],-30.2084,-57.6216,Lysapsus limellum,Uruguay Harlequin Frog,Amphibia,1595929,Gabriel Laufer,cc0,0.0,https://static.inaturalist.org/sounds/1242532.m4a?1730506449,1595929/iNat1242532.ogg,iNat
1595929,[],[],-30.2083,-57.6215,Lysapsus limellum,Uruguay Harlequin Frog,Amphibia,1595929,Gabriel Laufer,cc0,0.0,https://static.inaturalist.org/sounds/1242529.m4a?1730506341,1595929/iNat1242529.ogg,iNat
1595929,[],['uncertain'],-28.5332,-57.167,Lysapsus limellum,Uruguay Harlequin Frog,Amphibia,1595929,Franco Vushurovich,by-nc-sa,5.0,https://xeno-canto.org/999239/download,1595929/XC999239.ogg,XC
209233,[],[],30.7922,-81.5536,Equus caballus,Feral Horse,Mammalia,209233,Moses J. Michelsohn,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1545859.m4a?1751141212,209233/iNat1545859.ogg,iNat
209233,[],[],49.2473,-107.7249,Equus caballus,Feral Horse,Mammalia,209233,Sam,cc-by-nc,0.0,https://static.inaturalist.org/sounds/864998.m4a?1703567365,209233/iNat864998.ogg,iNat
22930,[],[],-20.5833,-56.7431,Leptodactylus syphax,Basin White-lipped Frog,Amphibia,22930,Esteban Diego Koch,cc-by-nc,0.0,https://static.inaturalist.org/sounds/897105.m4a?1707912170,22930/iNat897105.ogg,iNat
22930,[],[],-20.5522,-56.6406,Leptodactylus syphax,Basin White-lipped Frog,Amphibia,22930,Diego Santana,cc-by-nc,0.0,https://static.inaturalist.org/sounds/317238.m4a?1634432321,22930/iNat317238.ogg,iNat
22930,[],[],-18.1163,-60.0618,Leptodactylus syphax,Basin White-lipped Frog,Amphibia,22930,Rich Hoyer,cc-by-nc-sa,0.0,https://static.inaturalist.org/sounds/910967.mp3?1709165163,22930/iNat910967.ogg,iNat
22930,[],[],-16.8169,-49.3509,Leptodactylus syphax,Basin White-lipped Frog,Amphibia,22930,geraldomorais,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1248662.m4a?1731281150,22930/iNat1248662.ogg,iNat
22930,[],['uncertain'],-15.5661,-47.7656,Leptodactylus syphax,Basin White-lipped Frog,Amphibia,22930,Fernanda Fernandex,by-nc-sa,3.0,https://xeno-canto.org/940773/download,22930/XC940773.ogg,XC
22930,[],[],-14.1753,-47.8149,Leptodactylus syphax,Basin White-lipped Frog,Amphibia,22930,Laurent Quéno,cc-by-nc,0.0,https://static.inaturalist.org/sounds/330099.m4a?1637103960,22930/iNat330099.ogg,iNat
22956,[],[],-38.7666,-62.2783,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,Valentín Alfano,cc-by,0.0,https://static.inaturalist.org/sounds/1301818.m4a?1738905151,22956/iNat1301818.ogg,iNat
22956,[],[],-38.6539,-62.2839,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,Daniela Luján Ogeda,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1284850.m4a?1736731399,22956/iNat1284850.ogg,iNat
22956,[],[],-38.5498,-62.6928,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,Agustín Gabriel Álvarez,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1693371.m4a?1763081848,22956/iNat1693371.ogg,iNat
22956,[],[],-38.4845,-62.4823,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,Agustín Gabriel Álvarez,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1702693.wav?1764106013,22956/iNat1702693.ogg,iNat
22956,[],[],-38.1085,-62.2169,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,Damián Ganime,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1300149.wav?1738698288,22956/iNat1300149.ogg,iNat
22956,[],[],-38.1083,-62.2169,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,Damián Ganime,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1298529.wav?1738522586,22956/iNat1298529.ogg,iNat
22956,[],[],-38.083,-62.2068,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,Daniela Luján Ogeda,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1261831.m4a?1733272233,22956/iNat1261831.ogg,iNat
22956,[],[],-37.1434,-62.7861,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,Unknown,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1693794.mp3?1763138112,22956/iNat1693794.ogg,iNat
22956,[],[],-36.6613,-64.3931,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,Nadia Naab,cc-by-nc,0.0,https://static.inaturalist.org/sounds/972765.m4a?1713459102,22956/iNat972765.ogg,iNat
22956,[],[],-34.8936,-56.0946,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,Sebastián Mántaras,cc-by-nc,0.0,https://static.inaturalist.org/sounds/60929.mp3?1583812360,22956/iNat60929.ogg,iNat
22956,[],[],-34.7619,-55.7098,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,em-hix,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1701222.m4a?1763941260,22956/iNat1701222.ogg,iNat
22956,[],[],-34.7479,-55.7162,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,mik,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1711085.m4a?1765153552,22956/iNat1711085.ogg,iNat
22956,[],[],-33.2688,-57.4497,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,Pau,cc-by-nc,0.0,https://static.inaturalist.org/sounds/879304.wav?1705634797,22956/iNat879304.ogg,iNat
22956,[],[],-32.2512,-65.7894,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,JuanMa PerezIglesias,cc-by-nc,0.0,https://static.inaturalist.org/sounds/182971.mp3?1617737886,22956/iNat182971.ogg,iNat
22956,[],['advertisement call'],-32.2269,-58.1515,Leptodactylus mystacinus,Mustached Frog,Amphibia,22956,Guillermo Treboux,by-nc-sa,4.0,https://xeno-canto.org/900618/download,22956/XC900618.ogg,XC
